"Series","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N","Indicator Name","Source","Source Organization","Source Note"
"SE.PRM.LERN",0,0,0,0,0,495,"Proficiency on GEPD Assessment","Global Education Policy Dashboard","World Bank","The fraction of students scoring at least 80% on 4th grade math and language student assessment."
"SE.PRM.LERN.1",0,0,0,0,0,495,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.F",0,0,0,0,0,222,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.M",0,0,0,0,0,273,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.R",0,0,0,0,0,416,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.U",0,0,0,0,0,79,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2",0,0,0,0,0,495,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.F",0,0,0,0,0,222,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.M",0,0,0,0,0,273,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.R",0,0,0,0,0,416,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.U",0,0,0,0,0,79,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3",2.2060696281521195,0.9358933881323429,0.2538302299702475,4.158309026333992,0.8758964339498363,495,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.F",2.656166997890025,1.4198334595475248,-0.3055536999311488,5.6178876957111985,2.0159270528506927,222,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.M",1.9566290605100436,0.9078603782769799,0.06286549620330262,3.8503926248167843,0.824210466445221,273,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.R",1.5367481615782967,0.9694632657169857,-0.529613875571068,3.6031101987276615,0.9398590235746428,416,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.U",7.323250536796996,3.459125068082504,-36.62910078629353,51.27560185988752,11.965546236636786,79,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT",85.92180063914914,2.2356330596909864,81.51764480475138,90.3259564735469,4.998055177583281,1419,"Teacher Presence","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1",80.42270191359222,3.0020024823243063,74.5088124718103,86.33659135537414,9.012018903881296,1419,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.F",78.98102486099552,5.058623930245969,68.98777369569616,88.97427602629487,25.589676067657173,443,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female","Global Education Policy Dashboard","World Bank",NA
