"Series","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N","Indicator Name","Source","Source Organization","Source Note"
"SE.PRM.LERN",0,0,0,0,0,5377,"Proficiency on GEPD Assessment","Global Education Policy Dashboard","World Bank","The fraction of students scoring at least 80% on 4th grade math and language student assessment."
"SE.PRM.LERN.1",0,0,0,0,0,5377,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.F",0,0,0,0,0,2327,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.M",0,0,0,0,0,3050,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.R",0,0,0,0,0,2256,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.U",0,0,0,0,0,3121,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2",0.058118502975099635,0.05809043701084487,-0.056321052711099794,0.17255805866129906,0.003374498872110935,5377,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.F",0.05887696454300561,0.05887172908706781,-0.05712255308028435,0.17487648216629556,0.003465880485701106,2327,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.M",0.057379334099055046,0.05758496665331591,-0.056069388140015775,0.17082805633812587,0.0033160283844635052,3050,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.R",0,0,0,0,0,2256,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.U",0.07467362060796097,0.07464612647001573,-0.0731997810028719,0.22254702221879386,0.005572044196977583,3121,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3",15.675239590988246,2.6682839949236037,10.418656054413242,20.93182312756325,7.119739477565466,5377,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.F",16.528427679734616,2.6471424724543695,11.312558286282698,21.744297073186534,7.007363269471832,2327,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.M",14.843753715765285,3.1082943534614174,8.72007173351982,20.96743569801075,9.661493787760131,3050,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.R",29.042762382187707,8.48146541880052,12.229246381237356,45.85627838313806,71.93525565030907,2256,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.U",11.867486449736887,2.256894415835115,7.396595994622804,16.33837690485097,5.093572404227726,3121,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT",95.57020217740602,1.120060080957741,93.36375168693283,97.7766526678792,1.2545345849550613,1398,"Teacher Presence","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1",57.93045601559174,6.718046376714126,44.69631172732494,71.16460030385853,45.1321471196818,1398,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.F",49.224506071438626,6.586433485487898,36.21375012465538,62.235262018221874,43.38110605875627,441,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.M",63.314425262125326,7.286259458548063,48.96031918275567,77.66853134149498,53.08957689728111,957,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.R",75.71382206826692,7.036947216398915,61.76682145837263,89.66082267816121,49.51862612638444,478,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.U",54.61402235855833,7.258465376528928,40.235058352530096,68.99298636458656,52.68531962226923,920,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2",95.57020217740602,1.120060080957741,93.36375168693283,97.7766526678792,1.2545345849550613,1398,"(De Facto) Percent of teachers present in their schools during an announced visit","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.F",94.1165184887031,2.0672342748516277,90.03293050528515,98.20010647212104,4.273457547121335,441,"(De Facto) Percent of teachers present in their schools during an announced visit - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.M",96.46919520221893,0.94287573843508,94.61170735867483,98.32668304576302,0.8890146581294974,957,"(De Facto) Percent of teachers present in their schools during an announced visit - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.R",91.28279494697853,2.928156188241022,85.47928457701413,97.08630531694293,8.57409866273419,478,"(De Facto) Percent of teachers present in their schools during an announced visit - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.U",96.36976406002604,1.101659190098005,94.18738568944758,98.5521424306045,1.2136529711273925,920,"(De Facto) Percent of teachers present in their schools during an announced visit - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT",5.693918390122737,1.53904053002452,2.6562043056521634,8.73163247459331,2.3686457530581553,1205,"Teacher Content Knowledge","Global Education Policy Dashboard","World Bank","School survey.  The fraction of teachers scoring at least 80% on the teacher content knowledge exam on mathematics and language."
"SE.PRM.CONT.1",5.693918390122737,1.53904053002452,2.6562043056521634,8.73163247459331,2.3686457530581553,1205,"(De Facto) Percent of teachers proficient in the subjects they teach","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.1.F",3.158952724899109,1.3829742215042142,0.41794277873413543,5.899962671064083,1.9126176973451874,300,"(De Facto) Percent of teachers proficient in the subjects they teach - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.1.M",7.081824257693422,1.8763888359724983,3.3781100829938406,10.785538432393004,3.520835063762227,903,"(De Facto) Percent of teachers proficient in the subjects they teach - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.1.R",4.185135702113456,1.571497904888396,1.0583478134158382,7.311923590811074,2.469605665068618,516,"(De Facto) Percent of teachers proficient in the subjects they teach - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.1.U",6.050866568961026,1.9045889305471977,2.2583454896008552,9.843387648321198,3.627458994362918,689,"(De Facto) Percent of teachers proficient in the subjects they teach - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.2",6.187666413974627,2.339514393510476,1.569999961827861,10.805332866121393,5.47332759744269,583,"(De Facto) Percent of teachers proficient in the subject of language","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.2.F",2.338902498086589,1.2378830075114817,-0.11454137889839,4.792346375071568,1.5323543402856712,143,"(De Facto) Percent of teachers proficient in the subject of language - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.2.M",8.300165823474188,3.2107139710147807,1.9626910861603513,14.637640560788025,10.308684203669502,439,"(De Facto) Percent of teachers proficient in the subject of language - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.2.R",3.5149289691453234,1.9132823329731528,-0.2919027216830745,7.321760659973721,3.66064928566719,257,"(De Facto) Percent of teachers proficient in the subject of language - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.2.U",6.883285269962288,2.9870966834238057,0.9352158696445683,12.831354670280007,8.9227465961215,326,"(De Facto) Percent of teachers proficient in the subject of language - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.3",5.477126450605713,1.9511890788408779,1.6259253739416257,9.3283275272698,3.8071388213879134,627,"(De Facto) Percent of teachers proficient in the subject of mathematics","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.3.F",4.170563092959067,2.325072813609062,-0.43765563488422643,8.77878182080236,5.405963588583959,159,"(De Facto) Percent of teachers proficient in the subject of mathematics - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.3.M",6.129495122097561,2.208598307898034,1.7700485605111371,10.488941683683985,4.877906485650059,467,"(De Facto) Percent of teachers proficient in the subject of mathematics - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.3.R",4.76232103753756,1.951057806803805,0.8803280030662091,8.64431407200891,3.8066265654900735,260,"(De Facto) Percent of teachers proficient in the subject of mathematics - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.CONT.3.U",5.633468063128652,2.3768782712032,0.9004987582921347,10.366437367965169,5.649550316117913,367,"(De Facto) Percent of teachers proficient in the subject of mathematics - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG",21.079206165899425,8.945010545643594,3.4245154234348796,38.733896908363974,80.01321366167511,518,"Teacher Pedagogical Skills","Global Education Policy Dashboard","World Bank","School survey.  Based on TEACH ratings from classroom observations"
"SE.PRM.PEDG.1",21.079206165899425,8.945010545643594,3.4245154234348796,38.733896908363974,80.01321366167511,518,"(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score)","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.1.F",28.953651340099896,12.08963912325673,4.994824252120459,52.91247842807933,146.15937413057975,132,"(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.1.M",15.366377462266907,6.9870968987222275,1.5754458755132958,29.15730904902052,48.81952307213377,379,"(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.1.R",36.26345907666204,13.411857013107301,9.578070605522896,62.94884754780118,179.8779085400355,248,"(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.1.U",17.078621416874004,10.398290866018494,-3.622785474390291,37.7800283081383,108.12445293432363,270,"(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.2",39.95879130025847,10.655658110479509,18.92781010263771,60.98977249787923,113.54304976742773,518,"(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score)","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.2.F",41.61860004546964,10.256392911176569,21.292836654191348,61.944363436747935,105.19359554843297,132,"(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.2.M",38.685997105861524,11.61791221088437,15.754894989542446,61.6170992221806,134.97588413981615,379,"(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.2.R",63.94423560264263,8.049152294133815,47.92894736758282,79.95952383770243,64.78885265415967,248,"(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.2.U",33.63936266332479,12.082757315073136,9.58444067944842,57.69428464720116,145.9930243349534,270,"(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.3",33.33465524112724,9.903896450854084,13.787419595845996,52.88189088640848,98.08716490924013,518,"(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score)","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.3.F",36.58347201792524,10.60706548374675,15.562757896931316,57.60418613891916,112.50983817649167,132,"(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.3.M",30.901056329941266,10.15052617273431,10.866238715871713,50.93587394401082,103.03318158336424,379,"(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.3.R",54.09895131512535,11.004781531353242,32.202888009560695,75.99501462069,121.1052165528134,248,"(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.3.U",27.863900329042906,11.329699059586526,5.308202165746501,50.41959849233931,128.3620807807958,270,"(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.4",13.601567395415964,8.188684170566198,-2.560368454896585,29.763503245728515,67.05454844528143,518,"(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score)","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.4.F",26.169492166595855,12.658983240595205,1.0823586732887271,51.25662565990298,160.2498566856703,132,"(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.4.M",4.388961243599727,1.750673262876497,0.9335325370787482,7.844389950120706,3.06485687335064,379,"(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.4.R",3.999241430034531,1.986572339215456,0.04658561613975154,7.951897243929311,3.9464696589359685,248,"(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.PEDG.4.U",16.131485662586503,10.329486960672996,-4.432943175397913,36.69591450057092,106.69830087071345,270,"(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT",2.8434607914685315,0.08396654719399806,2.6780517813722886,3.0088698015647743,0.007050381047681903,259,"Basic Inputs","Global Education Policy Dashboard","World Bank","School survey.  Total score is the sum of whether a school has:   , Functional blackboard    - Pens, pencils, exercise books   - Textbooks   - Fraction of students in class with a desk    - Used ICT in class and have access to ICT in the school."
"SE.PRM.INPT.1",2.8434607914685315,0.08396654719399806,2.6780517813722886,3.0088698015647743,0.007050381047681903,259,"(De Facto) Average number of classroom inputs in classrooms","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.1.R",2.498301764189253,0.0946308367337181,2.310746522256463,2.685857006122043,0.00895499526092361,123,"(De Facto) Average number of classroom inputs in classrooms - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.1.U",2.9715879936757337,0.1020974220855261,2.7693337868811163,3.173842200470351,0.01042388359651007,136,"(De Facto) Average number of classroom inputs in classrooms - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.3",61.51010040340257,3.571587381474981,54.47428967895924,68.5459111278459,12.75623642351131,259,"(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.3.R",51.060302536170184,4.713421489649721,41.71845437825913,60.402150694081236,22.216342139091797,123,"(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.3.U",65.38919165856457,4.338403250054299,56.79484823469358,73.98353508243557,18.8217427600817,136,"(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.2.R",95.01083142456434,2.058308278969037,90.93133133179226,99.09033151733642,4.2366329712724795,123,"(De Facto) Percent of classrooms with a functional blackboard and chalk - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.2.U",97.20710937524602,2.2366665219366664,92.77629022214904,101.637928528343,5.002677130352264,136,"(De Facto) Percent of classrooms with a functional blackboard and chalk - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.4",77.2526437044354,2.5356681717902436,72.25753105249639,82.24775635637441,6.429613077430076,259,"(De Facto) Percent of classrooms with basic classroom furniture","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.INPT.4.R",62.59277768830412,4.21080814508098,54.24709283923603,70.9384625373722,17.730905234680325,123,"(De Facto) Percent of classrooms with basic classroom furniture - Rural","Global Education Policy Dashboard","World Bank",NA
