"Series","Indicator Name","Source","Source Organization","Source Note","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N"
"SE.LPV.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP","Proficiency by End of Primary","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.PRM.ATTD","Student Attendance","Global Education Policy Dashboard","World Bank","School Survey.  Percent of 4th grade students who are present during an unannounced visit.",82.59563999433766,1.9599925559177807,78.7346552936673,86.45662469500802,3.8415708192531146,260
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit","Global Education Policy Dashboard","World Bank",NA,82.59563999433766,1.9599925559177807,78.7346552936673,86.45662469500802,3.8415708192531146,260
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female","Global Education Policy Dashboard","World Bank",NA,85.510719435294,1.7446683345949197,82.07390140898228,88.94753746160573,3.0438675977382106,256
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male","Global Education Policy Dashboard","World Bank",NA,77.80622850307182,2.6541256210791233,72.5778727189116,83.03458428723204,7.044382812468642,256
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural","Global Education Policy Dashboard","World Bank",NA,78.93863060766331,2.8409308682113616,73.30799798627956,84.56926322904707,8.070888197956162,123
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban","Global Education Policy Dashboard","World Bank",NA,89.15843997776734,1.9682896387545792,85.25963701824558,93.0572429372891,3.8741641020286317,137
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing","Global Education Policy Dashboard","World Bank","Expert Survey.",2.5616408,NA,NA,NA,NA,1
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.","Global Education Policy Dashboard","World Bank",NA,2.5616408,NA,NA,NA,NA,1
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending","Global Education Policy Dashboard","World Bank",NA,2,NA,NA,NA,NA,1
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,3.7171512,NA,NA,NA,NA,1
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,2.5294119999999998,NA,NA,NA,NA,1
"SE.PRM.BFIN.5","(Financing) - Equity","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?","Global Education Policy Dashboard","World Bank",NA,5,NA,NA,NA,NA,1
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making","Global Education Policy Dashboard","World Bank","Survey of Public officials. This module assesses the extent to which bureaucrats implement policies in an impartial way, meaning that decisions are free from political clientelism or undue influence from any single interest group.   Average score (1 (worst) , 5 (best)) on items given to public officials.",2.429223228160728,0.08032889813465535,2.270855577298965,2.587590879022491,0.006452731875527836,208
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,2.429223228160728,0.08032889813465535,2.270855577298965,2.587590879022491,0.006452731875527836,208
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management","Global Education Policy Dashboard","World Bank",NA,2.190328525641026,0.10139984469343233,1.9904197060910844,2.3902373451909673,0.010281928503852197,208
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making","Global Education Policy Dashboard","World Bank",NA,2.8771929824561404,0.09902893331885537,2.6819583919011465,3.0724275730111343,0.009806729634270303,152
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation","Global Education Policy Dashboard","World Bank",NA,2.032051282051282,0.10733163370700936,1.8204479974544892,2.243654566648075,0.011520079594215629,208
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators","Global Education Policy Dashboard","World Bank",NA,3.6731182795698927,0.07775395671818022,3.519827100970332,3.8264094581694534,0.006045677785332644,155
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability","Global Education Policy Dashboard","World Bank","Survey of Public officials.  The aim of this indicator is to measure the extent to which the mandates are clearly defined and allocated in the legislation, as well as whether such allocation is reflected in practice.  Average score (1 (worst) , 5 (best)) on items given to public officials.",3.3728454415954414,0.06465801929580733,3.2453727777965846,3.500318105394298,0.004180659459256993,156
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,3.3728454415954414,0.06465801929580733,3.2453727777965846,3.500318105394298,0.004180659459256993,156
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence","Global Education Policy Dashboard","World Bank",NA,3.08982683982684,0.08985557106190824,2.9126774448225357,3.2669762348311444,0.00807402365086164,154
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency","Global Education Policy Dashboard","World Bank",NA,3.7413419913419914,0.08200641932342469,3.579667123574416,3.9030168591095666,0.006725052810249362,154
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials","Global Education Policy Dashboard","World Bank",NA,3.2413419913419914,0.08976264648809638,3.0643757962421256,3.418308186441857,0.008057332704546963,154
